行政區,收容所名稱,地址,經度,緯度,最大容納人數,可支援收容災害類型
左鎮區,榮和里活動中心,臺南市左鎮區榮和60-7號,120.3887,23.0646,19,"水災、震災
"
左鎮區,左鎮國中,臺南市左鎮區中正170號,120.4106,23.0562,430,"水災、震災
"
左鎮區,光榮國小澄山分校,臺南市左鎮區澄山77-3號,120.3855,23.0262,46,"震災
"
左鎮區,岡林國小,臺南市左鎮區岡林31號,120.4153,23.0074,187,"震災
"
仁德區,運動公園育樂中心,臺南市仁德區仁義路130號,120.2585,22.9675,3260,"水災、震災
"
仁德區,後壁里老人文康活動中心,臺南市仁德區德南路68號,120.2532,22.9475,1460,"水災、震災
"
仁德區,臺南都會公園管理中心,臺南市仁德區文華路二段62號,120.2211,22.9437,2060,"水災、震災
"
歸仁區,歸仁國中,臺南市歸仁區文化街二段2號,120.2939,22.9696,1130,"水災、震災
"
歸仁區,沙崙國中,臺南市歸仁區歸仁六路2號,120.2816,22.9287,1035,"水災、震災
"
歸仁區,歸仁國小,臺南市歸仁區文化街一段100號,120.2966,22.9698,865,"水災、震災
"
歸仁區,紅瓦厝國小,臺南市歸仁區信義南路100號,120.2987,22.9617,800,"水災、震災
"
歸仁區,文化國小,臺南市歸仁區文化街二段136號,120.2891,22.9708,860,"水災、震災
"
歸仁區,歸南國小,臺南市歸仁區民權南路171號,120.2883,22.9642,710,"水災、震災
"
歸仁區,大潭國小,臺南市歸仁區中正南路三段97號,120.2718,22.9138,700,"水災、震災
"
歸仁區,保西國小,臺南市歸仁區中正北路三段60號,120.2936,22.9919,730,"水災、震災
"
歸仁區,歸仁區公所,臺南市歸仁區中山路二段2號,120.294,22.9669,200,"水災、震災
"
關廟區,關廟國小,臺南市關廟區文衡路121號,120.3261,22.9637,1150,"水災、震災
"
關廟區,五甲國小,臺南市關廟區和平路246號,120.3343,22.9583,800,"水災、震災
"
關廟區,新光國小,臺南市關廟區新光街76號,120.3595,22.9772,145,"水災、震災
"
關廟區,崇和國小,臺南市關廟區南雄南路568號,120.3547,22.904,290,"水災、震災
"
